id,title,english_title,type,episodes,status,airing,aired_from,aired_to,duration,rating,score,scored_by,rank,popularity,members,favorites,synopsis,season,year,studios,genres,themes
61443,Shunkashuutou Daikousha: Haru no Mai,,TV,,Not yet aired,False,,,Unknown,,,,0,0,1,0,"Winter was once the only season in the world-but such an existence was too lonely to bear, and so it created Spring to love. Before long, the earth wished for more time to rest in the cycle, and Summer and Autumn were born. The ones who carry the cycle are called the Agents of the Four Seasons. Hinagiku, the Agent of Spring, disappeared from this land ten years ago, taking the season of spring with her. Now, after incredible hardship, she has returned to restore the cycle to its proper state-and, as in the myth passed down since the dawn of time, she sends her love to Winter.

(Source: Yen Press)",,,[],"['Drama', 'Romance']",[]
16498,Shingeki no Kyojin,Attack on Titan,TV,25.0,Finished Airing,False,2013-04-07T00:00:00+00:00,2013-09-29T00:00:00+00:00,24 min per ep,R - 17+ (violence & profanity),8.56,2920643.0,116,1,4140423,179241,"Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called Titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal Titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations.

After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Eren, his adopted sister Mikasa Ackerman, and his childhood friend Armin Arlert join the brutal war against the Titans and race to discover a way of defeating them before the last walls are breached.

[Written by MAL Rewrite]",spring,2013.0,['Wit Studio'],"['Action', 'Award Winning', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']"
1535,Death Note,Death Note,TV,37.0,Finished Airing,False,2006-10-04T00:00:00+00:00,2007-06-27T00:00:00+00:00,23 min per ep,R - 17+ (violence & profanity),8.62,2862546.0,89,2,4084820,179239,"Brutal murders, petty thefts, and senseless violence pollute the human world. In contrast, the realm of death gods is a humdrum, unchanging gambling den. The ingenious 17-year-old Japanese student Light Yagami and sadistic god of death Ryuk share one belief: their worlds are rotten.

For his own amusement, Ryuk drops his Death Note into the human world. Light stumbles upon it, deeming the first of its rules ridiculous: the human whose name is written in this note shall die. However, the temptation is too great, and Light experiments by writing a felon's name, which disturbingly enacts his first murder.

Aware of the terrifying godlike power that has fallen into his hands, Light—under the alias Kira—follows his wicked sense of justice with the ultimate goal of cleansing the world of all evil-doers. The meticulous mastermind detective L is already on his trail, but as Light's brilliance rivals L's, the grand chase for Kira turns into an intense battle of wits that can only end when one of them is dead.

[Written by MAL Rewrite]",fall,2006.0,['Madhouse'],"['Supernatural', 'Suspense']",['Psychological']
5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,TV,64.0,Finished Airing,False,2009-04-05T00:00:00+00:00,2010-07-04T00:00:00+00:00,24 min per ep,R - 17+ (violence & profanity),9.1,2207533.0,2,3,3504848,232872,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.

The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.

As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.

[Written by MAL Rewrite]",spring,2009.0,['Bones'],"['Action', 'Adventure', 'Drama', 'Fantasy']",['Military']
30276,One Punch Man,One Punch Man,TV,12.0,Finished Airing,False,2015-10-05T00:00:00+00:00,2015-12-21T00:00:00+00:00,24 min per ep,R - 17+ (violence & profanity),8.49,2325928.0,150,4,3367355,65720,"The seemingly unimpressive Saitama has a rather unique hobby: being a hero. In order to pursue his childhood dream, Saitama relentlessly trained for three years, losing all of his hair in the process. Now, Saitama is so powerful, he can defeat any enemy with just one punch. However, having no one capable of matching his strength has led Saitama to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored.

One day, Saitama catches the attention of 19-year-old cyborg Genos, who witnesses his power and wishes to become Saitama's disciple. Genos proposes that the two join the Hero Association in order to become certified heroes that will be recognized for their positive contributions to society. Saitama, who is shocked that no one knows who he is, quickly agrees. Meeting new allies and taking on new foes, Saitama embarks on a new journey as a member of the Hero Association to experience the excitement of battle he once felt.

[Written by MAL Rewrite]",fall,2015.0,['Madhouse'],"['Action', 'Comedy']","['Adult Cast', 'Parody', 'Super Power']"
38000,Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,TV,26.0,Finished Airing,False,2019-04-06T00:00:00+00:00,2019-09-28T00:00:00+00:00,23 min per ep,R - 17+ (violence & profanity),8.44,2220974.0,176,5,3231923,92751,"Ever since the death of his father, the burden of supporting the family has fallen upon Tanjirou Kamado's shoulders. Though living impoverished on a remote mountain, the Kamado family are able to enjoy a relatively peaceful and happy life. One day, Tanjirou decides to go down to the local village to make a little money selling charcoal. On his way back, night falls, forcing Tanjirou to take shelter in the house of a strange man, who warns him of the existence of flesh-eating demons that lurk in the woods at night.

When he finally arrives back home the next day, he is met with a horrifying sight—his whole family has been slaughtered. Worse still, the sole survivor is his sister Nezuko, who has been turned into a bloodthirsty demon. Consumed by rage and hatred, Tanjirou swears to avenge his family and stay by his only remaining sibling. Alongside the mysterious group calling themselves the Demon Slayer Corps, Tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity.

[Written by MAL Rewrite]",spring,2019.0,['ufotable'],"['Action', 'Award Winning', 'Supernatural']",['Historical']
11757,Sword Art Online,Sword Art Online,TV,25.0,Finished Airing,False,2012-07-08T00:00:00+00:00,2012-12-23T00:00:00+00:00,23 min per ep,PG-13 - Teens 13 or older,7.21,2213332.0,3326,6,3186822,69631,"Ever since the release of the innovative NerveGear, gamers from all around the globe have been given the opportunity to experience a completely immersive virtual reality. Sword Art Online (SAO), one of the most recent games on the console, offers a gateway into the wondrous world of Aincrad, a vivid, medieval landscape where users can do anything within the limits of imagination. With the release of this worldwide sensation, gaming has never felt more lifelike.

However, the idyllic fantasy rapidly becomes a brutal nightmare when SAO's creator traps thousands of players inside the game. The ""log-out"" function has been removed, with the only method of escape involving beating all of Aincrad's one hundred increasingly difficult levels. Adding to the struggle, any in-game death becomes permanent, ending the player's life in the real world.

While Kazuto ""Kirito"" Kirigaya was fortunate enough to be a beta-tester for the game, he quickly finds that despite his advantages, he cannot overcome SAO's challenges alone. Teaming up with Asuna Yuuki and other talented players, Kirito makes an effort to face the seemingly insurmountable trials head-on. But with difficult bosses and threatening dark cults impeding his progress, Kirito finds that such tasks are much easier said than done.

[Written by MAL Rewrite]",summer,2012.0,['A-1 Pictures'],"['Action', 'Adventure', 'Fantasy', 'Romance']","['Love Polygon', 'Video Game']"
31964,Boku no Hero Academia,My Hero Academia,TV,13.0,Finished Airing,False,2016-04-03T00:00:00+00:00,2016-06-26T00:00:00+00:00,24 min per ep,PG-13 - Teens 13 or older,7.84,2146285.0,962,7,3155748,53850,"The appearance of ""quirks,"" newly discovered super powers, has been steadily increasing over the years, with 80 percent of humanity possessing various abilities from manipulation of elements to shapeshifting. This leaves the remainder of the world completely powerless, and Izuku Midoriya is one such individual.

Since he was a child, the ambitious middle schooler has wanted nothing more than to be a hero. Izuku's unfair fate leaves him admiring heroes and taking notes on them whenever he can. But it seems that his persistence has borne some fruit: Izuku meets the number one hero and his personal idol, All Might. All Might's quirk is a unique ability that can be inherited, and he has chosen Izuku to be his successor!

Enduring many months of grueling training, Izuku enrolls in UA High, a prestigious high school famous for its excellent hero training program, and this year's freshmen look especially promising. With his bizarre but talented classmates and the looming threat of a villainous organization, Izuku will soon learn what it really means to be a hero.

[Written by MAL Rewrite]",spring,2016.0,['Bones'],['Action'],"['School', 'Super Power']"
11061,Hunter x Hunter (2011),Hunter x Hunter,TV,148.0,Finished Airing,False,2011-10-02T00:00:00+00:00,2014-09-24T00:00:00+00:00,23 min per ep,PG-13 - Teens 13 or older,9.03,1865227.0,8,8,3003635,219636,"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.

Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.

During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.

[Written by MAL Rewrite]",fall,2011.0,['Madhouse'],"['Action', 'Adventure', 'Fantasy']",[]
20,Naruto,Naruto,TV,220.0,Finished Airing,False,2002-10-03T00:00:00+00:00,2007-02-08T00:00:00+00:00,23 min per ep,PG-13 - Teens 13 or older,8.01,2051921.0,656,9,2978298,82784,"Moments before Naruto Uzumaki's birth, a huge demon known as the Nine-Tailed Fox attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the demon's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto.

In the present, Naruto is a hyperactive and knuckle-headed ninja growing up within Konohagakure. Shunned because of the demon inside him, Naruto struggles to find his place in the village. His one burning desire to become the Hokage and be acknowledged by the villagers who despise him. However, while his goal leads him to unbreakable bonds with lifelong friends, it also lands him in the crosshairs of many deadly foes.

[Written by MAL Rewrite]",fall,2002.0,['Pierrot'],"['Action', 'Adventure', 'Fantasy']",['Martial Arts']
22319,Tokyo Ghoul,Tokyo Ghoul,TV,12.0,Finished Airing,False,2014-07-04T00:00:00+00:00,2014-09-19T00:00:00+00:00,24 min per ep,R - 17+ (violence & profanity),7.79,1930283.0,1071,10,2933795,51462,"A sinister threat is invading Tokyo: flesh-eating ""ghouls"" who appear identical to humans and blend into their population. Reserved college student Ken Kaneki buries his nose in books and avoids the news of the growing crisis. However, the appearance of an attractive woman named Rize Kamishiro shatters his solitude when she forwardly asks him on a date.

While walking Rize home, Kaneki discovers she isn't as kind as she first appeared, and she has led him on with sinister intent. After a tragic struggle, he later awakens in a hospital to learn his life was saved by transplanting the now deceased Rize's organs into his own body.

Kaneki's body begins to change in horrifying ways, and he transforms into a human-ghoul hybrid. As he embarks on his new dreadful journey, Kaneki clings to his humanity in the evolving bloody conflict between society's new monsters and the government agents who hunt them.

[Written by MAL Rewrite]",summer,2014.0,['Pierrot'],"['Action', 'Fantasy', 'Horror', 'Suspense']","['Gore', 'Psychological', 'Urban Fantasy']"
